Jahr;Insgesamt (in Mill. Euro);Je Einwohner (in Euro);Je Einwohner umgerechnet auf Landesdurchschnitt NRW = 100
1995;4401;16578;108,1
1996;4400;16541;106,7
1997;4431;16650;106,1
1998;4409;16600;104,7
1999;4480;16876;104,6
2000;4564;17152;104,4
2001;4689;17531;102,9
2002;4752;17652;103,7
2003;4999;18481;105,7
2004;5236;19416;109,8
2005;5371;19874;111,4
2006;5518;20331;112,6
2007;5612;20618;112,6
2008;5879;21527;114,0
2009;5803;21158;114,1
2010;6060;21885;114,5
2011;6227;21655;108,4
2012;6290;21324;105,0
2013;6329;21228;103,4
2014;6574;21846;104,2
2015;6705;21903;103,4
2016;6922;22261;103,0